Product Name,Available Colors,Image URL,Care Instructions
Relaxed-Fit Hemd aus Canvas mit Print der Saison,Hellblau,"https://images.hugoboss.com/is/image/boss/hbeu50514181_485_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514181_485_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514181_485_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514181_485_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514181_485_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514181_485_100wid=768&qlt=80","30 °C Buntwäsche,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
T-Shirt aus Performance-Stretch-Gewebe mit dekorativem reflektierendem Logo,"Hellrot,Beige,Schwarz","https://images.hugoboss.com/is/image/boss/hbeu50517911_649_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517911_649_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517911_649_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517911_649_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517911_649_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Schnell trocknende Tapered-Fit Shorts aus bügelleichter Popeline,Hellgrün,"https://images.hugoboss.com/is/image/boss/hbeu50511428_334_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511428_334_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511428_334_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511428_334_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511428_334_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511428_334_240wid=768&qlt=80","40 °C Buntwäsche ,Nicht bleichen,Trocknen geringe Hitze,Bügeln geringe Hitze,Schonende chemische Trockenreinigung F"
Slim-Fit Poloshirt mit Troyerkragen und Mesh-Details,"Beige,Dunkelblau,Hellgrün,Dunkelgrau","https://images.hugoboss.com/is/image/boss/hbeu50512799_334_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512799_334_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512799_334_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512799_334_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512799_334_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Zweiseitiger Hoodie aus Baumwolle mit Reißverschluss,Grau,"https://images.hugoboss.com/is/image/boss/hbeu50512141_041_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512141_041_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512141_041_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512141_041_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512141_041_100wid=768&qlt=80","Nicht waschen,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Regular-Fit T-Shirt aus Baumwolle und Seide,Hellgrau,"https://images.hugoboss.com/is/image/boss/hbeu50512145_041_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512145_041_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512145_041_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512145_041_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512145_041_100wid=768&qlt=80","Nur Handwäsche,Nicht bleichen,Nicht im Wäschetrockner trocknen,Nicht bügeln,Chemische Trockenreinigung P"
Regular-Fit Hemd aus Bio-Oxford-Baumwolle,"Weiß,Hellblau,Blau,Grau","https://images.hugoboss.com/is/image/boss/hbeu50489341_100_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489341_100_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489341_100_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489341_100_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489341_100_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489341_100_100wid=768&qlt=80","30 °C Buntwäsche,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Slim-Fit Shorts aus elastischem Baumwolle-Twill,"Hellrosa,Hellblau,Blau,Dunkelblau,Hellbraun,Hellgrau,Schwarz","https://images.hugoboss.com/is/image/boss/hbeu50513026_695_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513026_695_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513026_695_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513026_695_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513026_695_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513026_695_240wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Schnell trocknende Badeshorts mit Logo-Umriss,"Weiß,Blau,Dunkelblau,Schwarz","https://images.hugoboss.com/is/image/boss/hbeu50469280_100_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469280_100_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469280_100_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469280_100_100wid=768&qlt=80","30 °C Buntwäsche,Nicht bleichen,Nicht im Wäschetrockner trocknen,Nicht bügeln,Nicht chemisch trockenreinigen"
Slim-Fit Poloshirt aus Stretch-Baumwolle mit Logo-Aufnäher,"Weiß,Dunkellila,Blau,Blau,Hellblau,Dunkelblau,Braun,Natur,Grau,Schwarz","https://images.hugoboss.com/is/image/boss/hbeu50507704_100_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507704_100_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507704_100_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507704_100_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507704_100_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Blaue Regular-Fit Shorts aus bequemem Stretch-Denim,Hellblau,"https://images.hugoboss.com/is/image/boss/hbeu50513490_450_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513490_450_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513490_450_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513490_450_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513490_450_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513490_450_240wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln mittlere Hitze,Nicht chemisch trockenreinigen"
Regular-Fit Shorts aus Baumwoll-Frottee mit Tunnelzug,Dunkelgrau,"https://images.hugoboss.com/is/image/boss/hbeu50514741_041_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514741_041_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514741_041_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514741_041_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514741_041_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514741_041_240wid=768&qlt=80","Nicht waschen,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Relaxed-Fit T-Shirt aus Baumwoll-Frottee mit Logo-Detail,"Weiß,Dunkelblau,Hellbraun","https://images.hugoboss.com/is/image/boss/hbeu50511084_106_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511084_106_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511084_106_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511084_106_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511084_106_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Slim-Fit Poloshirt aus Stretch-Baumwolle mit Logo-Aufnäher,"Schwarz,Flieder,Blau,Blau,Hellblau,Dunkelblau,Braun,Hellgrün,Hellbeige,Braun,Weiß,Hellgrau","https://images.hugoboss.com/is/image/boss/hbeu50507803_001_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507803_001_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507803_001_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507803_001_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507803_001_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Fein gemustertes Slim-Fit Sakko aus Leinen-Mix,"Hellgrün,Blau","https://images.hugoboss.com/is/image/boss/hbeu50514618_330_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_330_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_330_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_330_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_330_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_330_100wid=768&qlt=80","Nicht waschen,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Poloshirt aus Baumwoll-Piqué mit Kontrast-Logo,"Natur,Türkis,Blau,Dunkelblau,Dunkelblau,Hellgrün,Hellgrün,Khaki,Natur,Grau,Dunkelbraun,Weiß,Hellgrau,Grau,Dunkelgrau,Schwarz,Schwarz,Hellorange,Gelb,Hellgelb,Dunkelrot,Pink,Orange,Hellrot,Rot,Lila,Flieder,Flieder,Lila,Hellblau,Hellblau,Blau,Hellblau,Türkis","https://images.hugoboss.com/is/image/boss/hbeu50469055_131_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469055_131_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469055_131_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469055_131_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469055_131_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
BOSS x Matteo Berrettini Slim-Fit Poloshirt mit UV-Schutz,Weiß / Schwarz,https://images.hugoboss.com/is/image/boss/hbeu50519864_001_100wid=768&qlt=80,"30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Fein gemustertes Slim-Fit Sakko aus Leinen-Mix,"Blau,Hellgrün","https://images.hugoboss.com/is/image/boss/hbeu50514618_423_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_423_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_423_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_423_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_423_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514618_423_100wid=768&qlt=80","Nicht waschen,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Graue Regular-Fit Jeans aus bequemem Stretch-Denim,Grau,"https://images.hugoboss.com/is/image/boss/hbeu50524010_032_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50524010_032_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50524010_032_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50524010_032_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50524010_032_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50524010_032_240wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln mittlere Hitze,Nicht chemisch trockenreinigen"
